latitude (degrees_north),longitude (degrees_east),source
37.727017,-123.042883,ACCESS_2013_2014
37.730659,-122.89544199999999,ACCESS_2013_2014
37.7343,-122.74799999999999,ACCESS_2013_2014
37.8925,-123.095,ACCESS_2013_2014
37.889874,-123.189975,ACCESS_2013_2014
37.884643,-123.380078,ACCESS_2013_2014
37.882,-123.475,ACCESS_2013_2014
37.88345,-123.41058329999998,ACCESS_2013_2014
38.04708333,-123.5114,ACCESS_2013_2014
38.0461,-123.56299999999999,ACCESS_2013_2014
38.048781,-123.467652,ACCESS_2013_2014
38.051448,-123.372606,ACCESS_2013_2014
38.054124,-123.277803,ACCESS_2013_2014
38.0568,-123.18299999999999,ACCESS_2013_2014
37.72475,-123.15623329999998,ACCESS_2013_2014
37.7221,-123.23299999999999,ACCESS_2013_2014
37.724604,-123.13781499999999,ACCESS_2013_2014
37.727017,-123.042883,ACCESS_2013_2014
37.730659,-122.89544199999999,ACCESS_2013_2014
37.7343,-122.74799999999999,ACCESS_2013_2014
37.8925,-123.095,ACCESS_2013_2014
37.889874,-123.189975,ACCESS_2013_2014
37.887248,-123.284951,ACCESS_2013_2014
37.882,-123.475,ACCESS_2013_2014
37.88521667,-123.4078,ACCESS_2013_2014
37.884643,-123.380078,ACCESS_2013_2014
38.047447600000005,-123.5151749,ACCESS_2013_2014
38.0461,-123.56299999999999,ACCESS_2013_2014
38.048781,-123.467652,ACCESS_2013_2014
38.051448,-123.372606,ACCESS_2013_2014
38.054124,-123.277803,ACCESS_2013_2014
38.0568,-123.18299999999999,ACCESS_2013_2014
37.7221,-123.23299999999999,ACCESS_2013_2014
37.724604,-123.13781499999999,ACCESS_2013_2014
37.70785,-123.14288329999998,ACCESS_2013_2014
37.730659,-122.89544199999999,ACCESS_2013_2014
37.7343,-122.74799999999999,ACCESS_2013_2014
37.89366667,-123.41575,ACCESS_2013_2014
37.882,-123.475,ACCESS_2013_2014
37.884643,-123.380078,ACCESS_2013_2014
37.887248,-123.284951,ACCESS_2013_2014
37.889874,-123.189975,ACCESS_2013_2014
37.8925,-123.095,ACCESS_2013_2014
38.04765,-123.53116670000001,ACCESS_2013_2014
38.0461,-123.56299999999999,ACCESS_2013_2014
38.048781,-123.467652,ACCESS_2013_2014
38.051448,-123.372606,ACCESS_2013_2014
38.054124,-123.277803,ACCESS_2013_2014
38.0568,-123.18299999999999,ACCESS_2013_2014
37.72593333,-123.15775,ACCESS_2013_2014
37.727,-123.04296000000001,ACCESS_2013_2014
37.9683,-123.4306,ACCESS_2013_2014
38.3691,-123.5534,ACCESS_2013_2014
38.05065,-123.51445,ACCESS_2013_2014
37.724000000000004,-123.161,ACCESS_2013_2014
37.8843,-123.4125,ACCESS_2013_2014
38.0483,-123.5145,ACCESS_2013_2014
38.2119,-123.3857,ACCESS_2013_2014
38.3685,-123.4965,ACCESS_2013_2014
